Transcript/RepeatID (cmd=analyzeRepeats.pl rna hg19 -count pausing -condenseGenes -norm 1e6 -d /research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Pausing Ratio	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Promoter Reads (-50,200)	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ GeneBody Reads (200,5000)
NM_001282805	chr2	160568967	160574017	+	250.0	1	MARCH7|AXO|AXOT|MARCH-VII|RNF177|-|2q24.2|protein-coding	4.964	3.057	9.804
NM_001207005	chr19	44763983	44769033	+	250.0	1	ZNF233|-|-|19q13.31|protein-coding	2.080	0.211	0.633
NR_037479	chr7	70772610	70777660	+	250.0	1	MIR3914-2|-|-|7q11.22|ncRNA	0.960	0.000	0.105
NR_157096	chr5	142779047	142784097	-	250.0	1	NR3C1|GCCR|GCR|GCRST|GR|GRL|-|5q31.3|protein-coding	2.320	0.633	3.795
NM_001171174	chr3	39318226	39323276	-	250.0	1	CX3CR1|CCRL1|CMKBRL1|CMKDR1|GPR13|GPRV28|V28|-|3p22.2|protein-coding	0.923	0.000	0.211
NM_001365304	chr16	30064361	30069411	+	250.0	1	LOC112694756|ALDA|ALDOA|-|-|protein-coding	1.400	0.422	5.060
NM_001142414	chr7	65579755	65584805	+	250.0	1	CRCP|CGRP-RCP|CGRPRCP|RCP|RCP9|RPC9|-|7q11.21|protein-coding	7.117	3.268	6.641
NM_033258	chr19	47132939	47137989	-	250.0	1	GNG8|-|-|19q13.32|protein-coding	1.662	0.105	0.211
NM_020932	chrX	75648053	75653103	+	250.0	1	MAGEE1|DAMAGE|HCA1|-|Xq13.3|protein-coding	1.976	0.422	2.846
NM_019048	chr2	190526135	190531185	+	250.0	1	ASNSD1|NBLA00058|NS3TP1|-|2q32.2|protein-coding	4.298	1.898	6.536
NM_000498	chr8	143994259	143999309	-	250.0	1	CYP11B2|ALDOS|CPN2|CYP11B|CYP11BL|CYPXIB2|P-450C18|P450C18|P450aldo|-|8q24.3|protein-coding	1.000	0.000	0.000
NM_003646	chr11	46368963	46374013	+	250.0	1	DGKZ|DAGK5|DAGK6|DGK-ZETA|hDGKzeta|-|11p11.2|protein-coding	3.640	1.687	7.063
NM_030905	chr6_ssto_hap7	482150	487200	+	250.0	8	OR2J2|OR6-19|OR6-8|OR6.3.8|ORL684|dJ80I19.4|hs6M1-6|-|6p22.1|protein-coding	1.000	0.000	0.000
NM_001206924	chr3	121774159	121779209	+	250.0	1	CD86|B7-2|B7.2|B70|CD28LG2|LAB72|-|3q13.33|protein-coding	1.000	0.000	0.000
NM_004527	chr17	41734290	41739340	-	250.0	1	MEOX1|KFS2|MOX1|-|17q21.31|protein-coding	2.600	0.211	0.000
NR_106922	chr16	28735523	28740573	-	250.0	2	MIR6862-1|hsa-mir-6862-1|-|16p12.1|ncRNA	0.774	0.000	0.738
NR_147153	chr4	118281758	118286808	+	250.0	1	LINC02263|-|-|4q26|ncRNA	1.000	0.000	0.000
NM_001348372	chrX	107020913	107025963	+	250.0	1	NCBP2L|dJ820B18.1|-|Xq22.3|protein-coding	0.960	0.000	0.105
NR_038425	chr1	205342330	205347380	+	250.0	1	LEMD1-AS1|-|-|1q32.1|ncRNA	0.889	0.000	0.316
NM_022776	chr3	125309341	125314391	-	250.0	1	OSBPL11|ORP-11|ORP11|OSBP12|TCCCIA00292|-|3q21.2|protein-coding	3.893	1.792	6.958
NM_014611	chr6	90524513	90529563	-	250.0	1	MDN1|Rea1|-|6q15|protein-coding	8.221	4.111	7.379
NR_138465	chr2	242036747	242041797	-	250.0	1	MTERF4|MTERFD2|-|2q37.3|protein-coding	3.218	1.476	7.063
NM_183377	chr17	31615006	31620056	-	250.0	1	ASIC2|ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1|-|17q11.2-q12|protein-coding	1.000	0.000	0.000
NR_030714	chr15	70366807	70371857	-	250.0	1	MIR629|MIRN629|hsa-mir-629|mir-629|-|15q23|ncRNA	0.942	0.422	8.750
NM_001001994	chrX	13951757	13956807	-	250.0	1	GPM6B|M6B|-|Xp22.2|protein-coding	3.000	0.527	1.687
NM_152783	chr2	242673995	242679045	+	250.0	1	D2HGDH|D2HGD|-|2q37.3|protein-coding	4.800	2.425	7.696
NR_134502	chr11	6411654	6416704	+	250.0	1	SMPD1|ASM|ASMASE|NPD|-|11p15.4|protein-coding	2.880	1.370	7.485
NM_175064	chr7	44040439	44045489	+	250.0	1	SPDYE1|Ringo1|SPDYB2L2|SPDYE|WBSCR19|-|7p13|protein-coding	0.800	0.105	3.163
NM_001165974	chr3	126231616	126236666	-	250.0	1	UROC1|HMFN0320|UROCD|-|3q21.3|protein-coding	1.000	0.000	0.000
NM_001014	chr6	34388846	34393896	-	250.0	1	RPS10|DBA9|S10|-|6p21.31|protein-coding	10.727	17.184	28.464
NM_022574	chr7	100282071	100287121	-	250.0	1	GIGYF1|GYF1|PERQ1|-|7q22.1|protein-coding	1.229	1.265	19.292
NM_139015	chr12	121337161	121342211	-	250.0	1	SPPL3|IMP2|MDHV1887|PRO4332|PSH1|PSL4|-|12q24.31|protein-coding	2.623	1.265	7.696
NR_110294	chr2	134023717	134028767	+	250.0	1	NCKAP5-AS2|-|-|2q21.2|ncRNA	0.960	0.000	0.105
NM_001304529	chr8	27625157	27630207	-	250.0	1	CCDC25|-|-|8p21.1|protein-coding	7.047	1.687	2.425
NM_001321321	chr19	52506483	52511533	-	250.0	1	ZNF615|-|-|19q13.41|protein-coding	5.224	0.843	1.054
NR_132320	chrUn_gl000241	31957	37007	-	250.0	1	FRG1FP|-|-|22p11.2|pseudo	1.000	0.000	0.000
NR_125954	chr1	106156557	106161607	-	250.0	1	LINC01676|-|-|1p21.1|ncRNA	1.000	0.000	0.000
NM_001184700	chr4	39524059	39529109	-	250.0	1	UGDH|GDH|UDP-GlcDH|UDPGDH|UGD|-|4p14|protein-coding	3.977	0.633	1.160
NR_039962	chr4	148703696	148708746	+	250.0	1	MIR4799|-|-|4q31.23|ncRNA	0.889	0.000	0.316
NM_001080483	chr9	136385081	136390131	-	250.0	1	MYMK|MYOMAKER|TMEM226|TMEM8C|-|9q34.2|protein-coding	1.000	0.000	0.000
NM_004687	chr17	56590241	56595291	-	250.0	1	MTMR4|FYVE-DSP2|ZFYVE11|-|17q22|protein-coding	1.538	0.527	5.693
NM_001322124	chr2	61239347	61244397	-	250.0	1	PUS10|CCDC139|DOBI|-|2p16.1-p15|protein-coding	3.026	0.633	2.319
NM_001198965	chr14	24837340	24842390	+	250.0	1	NFATC4|NF-AT3|NF-ATC4|NFAT3|-|14q12|protein-coding	1.418	0.211	2.108
NM_032804	chr10	64564430	64569480	+	250.0	1	ADO|C10orf22|-|10q21.3|protein-coding	3.360	1.898	9.066
NM_001346683	chr17	26800612	26805662	+	250.0	1	SLC13A2|NADC1|NaCT|NaDC-1|SDCT1|-|17q11.2|protein-coding	1.000	0.000	0.000
NR_003199	chr14	101429341	101434391	+	250.0	1	SNORD114-7|14q(II-7)|-|14q32.31|snoRNA	1.000	0.000	0.000
NM_181463	chr1	228292000	228297050	-	250.0	1	MRPL55|AAVG5835|L55nt|MRP-L55|PRO19675|-|1q42.13|protein-coding	3.613	5.482	27.304
NR_106805	chr11	62329543	62334593	-	250.0	1	MIR6747|hsa-mir-6747|-|11q12.3|ncRNA	5.664	4.533	13.283
NM_018189	chr3	109051419	109056469	-	250.0	1	DPPA4|2410091M23Rik|-|3q13.13|protein-coding	1.000	0.000	0.000
NR_157079	chr5	98260418	98265468	-	250.0	1	CHD1|CHD-1|PILBOS|-|5q15-q21.1|protein-coding	3.434	2.319	11.175
NR_037496	chr22	31551105	31556155	-	250.0	1	MIR3928|mir-3928|-|22q12.2|ncRNA	5.413	1.265	2.425
NM_005206	chr17	1354526	1359576	-	250.0	1	CRK|CRKII|p38|-|17p13.3|protein-coding	3.501	2.425	11.491
NM_001142353	chr10	75250782	75255832	-	250.0	1	PPP3CB|CALNA2|CALNB|CNA2|PP2Bbeta|-|10q22.2|protein-coding	1.467	0.738	8.855
NR_047687	chr13	101360529	101365579	+	250.0	1	NALCN-AS1|-|-|13q32.3|ncRNA	0.960	0.000	0.105
NM_175055	chr1	228645758	228650808	+	250.0	1	HIST3H2BB|H2Bb|-|1q42.13|protein-coding	8.898	10.226	19.819
NM_021088	chr2	95831504	95836554	+	250.0	1	ZNF2|A1-5|ZNF661|Zfp661|-|2q11.1|protein-coding	4.373	0.949	2.214
NM_203352	chr5	176919605	176924655	-	250.0	1	PDLIM7|LMP1|LMP3|-|5q35.3|protein-coding	4.298	1.898	6.536
NM_001318890	chr16	20704110	20709160	-	250.0	1	ACSM1|BUCS1|MACS1|-|16p12.3|protein-coding	1.000	0.000	0.000
NM_022365	chr10	22287659	22292709	-	250.0	1	DNAJC1|DNAJL1|ERdj1|HTJ1|MTJ1|-|10p12.31|protein-coding	8.815	2.530	3.268
NM_144705	chr2	95537125	95542175	+	250.0	1	TEKT4|-|-|2q11.1|protein-coding	1.000	0.000	0.000
NM_016824	chr10	111767692	111772742	+	250.0	1	ADD3|ADDL|CPSQ3|-|10q25.1-q25.2|protein-coding	5.357	1.898	4.744
NR_110698	chr1	26551761	26556811	+	250.0	1	LOC101928303|-|-|1p36.11|ncRNA	0.828	0.000	0.527
NM_001278558	chr12	118494016	118499066	-	250.0	1	WSB2|SBA2|-|12q24.23|protein-coding	0.864	0.105	2.741
NM_053004	chr22	19837397	19842447	-	250.0	1	GNB1L|DGCRK3|FKSG1|GY2|WDR14|WDVCF|-|22q11.21|protein-coding	2.086	2.846	24.879
NM_001256829	chr16	30751913	30756963	+	250.0	1	TMEM265|IFITMD8|-|16p11.2|protein-coding	1.527	1.160	13.705
NR_037513	chr7	30324506	30329556	-	250.0	1	MIR550B1|-|-|7p14.3|ncRNA	0.407	0.000	3.690
NM_017686	chr1	118467244	118472294	-	250.0	1	GDAP2|MACROD3|SCAR27|-|1p12|protein-coding	7.360	1.687	2.214
NM_001197301	chr19	49867084	49872134	+	250.0	1	DKKL1|CT34|SGY|SGY-1|SGY1|-|19q13.33|protein-coding	6.124	0.843	0.527
NM_001308109	chr5	121647882	121652932	+	250.0	1	SNCAIP|SYPH1|Sph1|-|5q23.2|protein-coding	3.360	0.422	0.633
NM_020783	chr18	40852455	40857505	-	250.0	1	SYT4|HsT1192|-|18q12.3|protein-coding	1.000	0.000	0.000
NM_017632	chr4	184365739	184370789	+	250.0	1	CDKN2AIP|CARF|-|4q35.1|protein-coding	4.880	1.476	3.795
NM_001199642	chr3	123130189	123135239	-	250.0	1	ADCY5|AC5|FDFM|-|3q21.1|protein-coding	0.923	0.000	0.211
NM_001272087	chr19	15085676	15090726	-	250.0	1	SLC1A6|EAAT4|-|19p13.12|protein-coding	1.000	0.000	0.000
NM_001243538	chr15	31518065	31523115	-	250.0	1	LOC283710|-|-|15q13.3|protein-coding	1.000	0.000	0.000
NM_001134387	chr7	6617015	6622065	+	250.0	1	ZDHHC4|ZNF374|-|7p22.1|protein-coding	4.380	1.792	5.904
NM_005290	chr3	98250772	98255822	+	250.0	1	GPR15|BOB|-|3q11.2|protein-coding	1.000	0.000	0.000
NR_037400	chr1	33793093	33798143	-	250.0	1	MIR3605|mir-3605|-|1p35.1|ncRNA	1.463	0.527	6.114
NR_125965	chr1	114355184	114360234	+	250.0	1	AP4B1-AS1|-|-|1p13.2|ncRNA	15.497	2.846	1.160
NM_145326	chr19	21579885	21584935	+	250.0	1	ZNF493|-|-|19p12|protein-coding	4.875	1.581	4.217
NM_182836	chr14	24735833	24740883	-	250.0	1	RABGGTA|PTAR3|-|14q12|protein-coding	3.528	1.476	6.220
NM_001199760	chr15	80210448	80215498	-	250.0	1	ST20-MTHFS|MTHFS|-|15q25.1|protein-coding	1.513	0.633	7.169
NM_001345999	chr5	37379370	37384420	+	250.0	1	WDR70|-|-|5p13.2|protein-coding	6.189	1.160	1.476
NR_036541	chr1	145822103	145827153	-	250.0	1	GPR89A|GPHR|GPR89|GPR89B|SH120|UNQ192|-|1q21.1|protein-coding	8.716	1.687	1.476
NR_024221	chr19	48453503	48458553	+	250.0	1	SNAR-C3|-|-|19q13.33|snRNA	1.000	0.000	0.000
NR_134652	chr6	150038707	150043757	+	250.0	1	LOC645967|-|-|6q25.1|ncRNA	1.156	0.738	11.913
NM_001145338	chr6_qbl_hap6	4512966	4518016	-	250.0	5	ZBTB22|BING1|ZBTB22A|ZNF297|ZNF297A|fru|fruitless|-|6p21.32|protein-coding	0.960	0.000	0.105
NR_047467	chr10	92805515	92810565	+	250.0	1	LINC00502|-|-|10q23.31|ncRNA	1.000	0.000	0.000
NR_146572	chr16	50424044	50429094	-	250.0	1	LINC02178|-|-|16q12.1|ncRNA	0.960	0.000	0.105
NM_001002906	chrY	19877440	19882490	-	250.0	2	XKRY2|XKRYP7|-|Yq11.222|protein-coding	1.000	0.000	0.000
NR_029633	chr6_dbb_hap3	4456869	4461919	+	250.0	6	MIR219A1|MIR219-1|MIRN219-1|MRI219-1|hsa-mir-219a-1|mir-219|mir-219a-1|-|6p21.32|ncRNA	1.000	0.000	0.000
NM_001040453	chr15	59063451	59068501	+	250.0	1	MINDY2|FAM63B|-|15q21.3-q22.1|protein-coding	6.523	1.265	1.581
NM_024843	chr2	172378934	172383984	+	250.0	1	CYBRD1|CYB561A2|DCYTB|FRRS3|-|2q31.1|protein-coding	2.353	0.527	2.846
NR_109894	chr5	167654377	167659427	-	250.0	1	CTB-178M22.2|-|-|5q34|ncRNA	0.828	0.000	0.527
NM_001276457	chr4	140000568	140005618	-	250.0	1	ELF2|EU32|NERF|NERF-1A|NERF-1B|NERF-1a,b|NERF-2|-|4q31.1|protein-coding	3.754	1.476	5.693
NM_153363	chr7	63688802	63693852	+	250.0	1	ZNF679|-|-|7q11.21|protein-coding	1.000	0.000	0.000
NM_144666	chr11	6518476	6523526	+	250.0	1	DNHD1|C11orf47|CCDC35|DHCD1|DNHD1L|-|11p15.4|protein-coding	1.504	0.422	4.533
NM_024730	chr12	18238127	18243177	-	250.0	1	RERGL|-|-|12p12.3|protein-coding	1.000	0.000	0.000
NR_151716	chr2	229471111	229476161	-	250.0	1	LINC01807|-|-|2q36.3|ncRNA	1.000	0.000	0.000
NM_080825	chr20	32250083	32255133	+	250.0	1	C20orf144|dJ63M2.6|-|20q11.22|protein-coding	1.123	0.633	10.542
NM_001032726	chrX	69501972	69507022	+	250.0	1	RAB41|-|-|Xq13.1|protein-coding	0.462	0.000	2.952
NR_023369	chr1	228743374	228748424	-	250.0	10	RNA5S7|RN5S7|-|1q42.13|rRNA	1.874	5.693	57.138
NM_001146706	chrY	21901612	21906662	-	250.0	1	KDM5D|HY|HYA|JARID1D|SMCY|-|Yq11.223|protein-coding	0.960	0.000	0.105
NM_016222	chr5	176938962	176944012	-	250.0	1	DDX41|ABS|MPLPF|-|5q35.3|protein-coding	3.736	4.217	19.819
NR_135472	chr21	27940605	27945655	-	250.0	1	CYYR1|C21orf95|-|21q21.3|protein-coding	1.000	0.000	0.000
NR_026818	chr1	31081	36131	-	250.0	3	FAM138A|F379|FAM138F|-|1p36.33|ncRNA	1.000	0.000	0.000
NM_198407	chr3	172161246	172166296	-	250.0	1	GHSR|GHDP|-|3q26.31|protein-coding	0.960	0.000	0.105
NR_132997	chr6	58282724	58287774	-	250.0	1	LINC00680-GUSBP4|-|-|6p11.2|pseudo	4.900	1.160	2.530
NM_001039476	chr16	183697	188747	-	250.0	1	NPRL3|C16orf35|CGTHBA|FFEVF3|HS-40|MARE|NPR3|RMD11|-|16p13.3|protein-coding	2.371	0.949	6.220
NR_030347	chr12	65016239	65021289	+	250.0	1	MIR548C|MIRN548C|-|12q14.2|ncRNA	0.645	0.105	4.533
NM_001136177	chr10	64571126	64576176	-	250.0	1	EGR2|AT591|CHN1|CMT1D|CMT4E|KROX20|-|10q21.3|protein-coding	1.234	0.105	1.160
NM_001330542	chr17	80376173	80381223	+	250.0	1	HEXD|HEXDC|-|17q25.3|protein-coding	5.616	2.952	8.012
NM_001145191	chr4	15683400	15688450	+	250.0	1	FAM200B|C4orf53|-|4p15.32|protein-coding	7.418	2.108	3.268
NM_001370224	chr3	127634025	127639075	+	250.0	1	KBTBD12|KLHDC6|-|3q21.3|protein-coding	1.000	0.000	0.000
NM_001204099	chr16	66586429	66591479	+	250.0	1	CKLF-CMTM1|-|-|16q21|protein-coding	12.429	3.690	3.373
NR_036659	chr20	47895129	47900179	+	250.0	1	ZFAS1|C20orf199|HSUP1|HSUP2|NCRNA00275|ZNFX1-AS1|-|20q13.13|ncRNA	0.470	7.801	321.427
NM_002895	chr20	35719400	35724450	-	250.0	1	RBL1|CP107|PRB1|p107|-|20q11.23|protein-coding	6.215	2.530	5.693
NM_001278927	chr5	64859073	64864123	+	250.0	1	PPWD1|-|-|5q12.3|protein-coding	6.957	3.268	6.852
NM_001004732	chr1	247901867	247906917	+	250.0	1	OR14K1|OR1-39|OR1.5.9|OR5AY1|-|1q44|protein-coding	1.000	0.000	0.000
NM_182964	chr11	19734333	19739383	+	250.0	1	NAV2|HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2|-|11p15.1|protein-coding	1.486	0.211	1.898
NM_030628	chr11	62415774	62420824	-	250.0	1	INTS5|INT5|KIAA1698|-|11q12.3|protein-coding	4.837	3.268	10.964
NM_001137560	chr6	44238137	44243187	+	250.0	1	TMEM151B|C6orf137|TMEM193|bA444E17.5|-|6p21.1|protein-coding	0.923	0.000	0.211
NM_013321	chr7	2349076	2354126	-	250.0	1	SNX8|Mvp1|-|7p22.3|protein-coding	2.911	0.843	3.901
NR_038374	chr10	29079979	29085029	-	250.0	1	LINC00837|-|-|10p12.1|ncRNA	1.000	0.000	0.000
NM_019609	chr20	2776273	2781323	-	250.0	1	CPXM1|CPX1|CPXM|-|20p13|protein-coding	0.889	0.000	0.316
NM_182528	chr2	119911327	119916377	-	250.0	1	C1QL2|C1QTNF10|CTRP10|-|2q14.2|protein-coding	1.000	0.000	0.000
NM_181523	chr5	67511534	67516584	+	250.0	1	PIK3R1|AGM7|GRB1|IMD36|p85|p85-ALPHA|-|5q13.1|protein-coding	5.782	1.265	2.108
NM_176870	chr16	56666521	56671571	+	250.0	1	MT1M|MT-1M|MT-IM|MT1|MT1K|-|16q13|protein-coding	1.000	0.000	0.000
NR_002774	chr12	13153326	13158376	+	250.0	1	HTR7P1|HTR7P|-|12p13.1|pseudo	2.520	0.422	1.687
NR_145509	chr14	20697090	20702140	+	250.0	1	OR11H7|OR11H7P|-|14q11.2|protein-coding	0.960	0.000	0.105
NR_103790	chr6	21507123	21512173	-	250.0	1	LINC00581|linc-MBOAT1-4|-|6p22.3|ncRNA	0.960	0.000	0.105
NM_012390	chr4	71226427	71231477	+	250.0	1	SMR3A|P-B1|PBI|PRL5|PROL5|-|4q13.3|protein-coding	1.000	0.000	0.000
NM_001286650	chr4	100237558	100242608	-	250.0	1	ADH1B|ADH2|HEL-S-117|-|4q23|protein-coding	1.000	0.000	0.000
NM_001367858	chrX	84493785	84498835	-	250.0	1	SATL1|-|-|Xq21.1|protein-coding	2.400	0.211	0.211
NM_182971	chr14	93813478	93818528	+	250.0	1	COX8C|COX8-3|-|14q32.12|protein-coding	0.923	0.000	0.211
NM_001199764	chr2	220168692	220173742	-	250.0	1	PTPRN|IA-2|IA-2/PTP|IA2|ICA512|R-PTP-N|-|2q35|protein-coding	0.923	0.000	0.211
NM_130777	chrX	52112114	52117164	+	250.0	2	XAGE2|CT12.2|GAGED3|XAGE-2|XAGE2B|-|Xp11.22|protein-coding	1.000	0.000	0.000
NR_031629	chr9	68997321	69002371	-	250.0	1	MIR1299|MIRN1299|hsa-mir-1299|-|9p11.2|ncRNA	0.857	0.000	0.422
NM_152336	chr15	86622801	86627851	+	250.0	1	AGBL1|CCP4|FECD8|-|15q25.3|protein-coding	1.000	0.000	0.000
NM_001242412	chr5	304241	309291	+	250.0	1	AHRR|AHH|AHHR|bHLHe77|-|5p15.33|protein-coding	0.734	0.211	6.431
NR_002576	chr17	37004248	37009298	-	250.0	1	SNORA21|ACA21|-|17q12|snoRNA	52.195	163.507	57.665
NM_007359	chr17	38296740	38301790	+	250.0	1	CASC3|BTZ|MLN51|-|17q21.1|protein-coding	7.036	3.268	6.747
NM_170692	chr1	178063189	178068239	+	250.0	1	RASAL2|NGAP|-|1q25.2|protein-coding	2.501	0.843	4.955
NM_001369904	chr22	37415811	37420861	+	250.0	1	MPST|MST|TST2|TUM1|-|22q12.3|protein-coding	1.615	0.843	9.066
NM_206933	chr1	216591790	216596840	-	250.0	1	USH2A|RP39|US2|USH2|dJ1111A8.1|-|1q41|protein-coding	1.000	0.000	0.000
NM_017838	chr5	177575961	177581011	-	250.0	1	NHP2|DKCB2|NHP2P|NOLA2|-|5q35.3|protein-coding	3.381	7.907	43.117
NR_002987	chr1	28901405	28906455	-	250.0	1	SNORA61|ACA61|-|1p35.3|snoRNA	25.951	186.384	135.465
NM_001256858	chr12	121837836	121842886	+	250.0	1	RNF34|CARP-1|CARP1|RFI|RIF|RIFF|hRFI|-|12q24.31|protein-coding	7.842	4.217	8.117
NR_103504	chr3	39509121	39514171	+	250.0	1	MOBP|-|-|3p22.1|protein-coding	1.000	0.000	0.000
NM_001278529	chr14	21538413	21543463	+	250.0	1	ARHGEF40|SOLO|-|14q11.2|protein-coding	1.813	0.316	2.214
NR_031589	chr12	120146529	120151579	-	250.0	1	MIR1178|MIRN1178|hsa-mir-1178|-|12q24.23|ncRNA	0.752	0.211	6.220
NM_002629	chr10	99185898	99190948	+	250.0	1	PGAM1|HEL-S-35|PGAM-B|PGAMA|-|10q24.1|protein-coding	1.554	1.054	12.123
NM_001321065	chr19	45417532	45422582	+	250.0	1	APOC1|Apo-CI|ApoC-I|apo-CIB|apoC-IB|-|19q13.32|protein-coding	1.383	0.316	3.690
NM_001278298	chr3	130064309	130069359	+	250.0	1	COL6A5|COL29A1|VWA4|-|3q22.1|protein-coding	1.000	0.000	0.000
NM_001319099	chr2	25265282	25270332	+	250.0	1	EFR3B|KIAA0953|-|2p23.3|protein-coding	1.486	0.211	1.898
NR_039884	chr17	15150013	15155063	-	250.0	1	MIR4731|-|-|17p12|ncRNA	1.891	0.211	0.949
NM_014630	chr15	85291773	85296823	+	250.0	1	ZNF592|CAMOS|SCAR5|-|15q25.3|protein-coding	1.558	0.527	5.587
NM_012306	chr12	50292683	50297733	-	250.0	1	FAIM2|LFG|LFG2|NGP35|NMP35|TMBIM2|-|12q13.12|protein-coding	1.000	0.000	0.000
NR_136194	chr4	174451472	174456522	+	250.0	1	HAND2-AS1|DEIN|NBLA00301|UPH|-|4q34.1|ncRNA	1.728	0.105	0.105
NM_182688	chr21	46216735	46221785	-	250.0	1	UBE2G2|UBC7|-|21q22.3|protein-coding	4.851	4.849	17.184
NR_029451	chr12	24732102	24737152	-	250.0	1	LINC00477|C12orf67|FAM191B|-|12p12.1|ncRNA	1.000	0.000	0.000
NM_002195	chr9	5231369	5236419	+	250.0	1	INSL4|EPIL|PLACENTIN|-|9p24.1|protein-coding	1.000	0.000	0.000
NM_001184832	chr15	48498449	48503499	+	250.0	1	SLC12A1|BSC1|NKCC2|-|15q21.1|protein-coding	1.000	0.000	0.000
NM_175872	chr19	35450133	35455183	-	250.0	1	ZNF792|-|-|19q13.11|protein-coding	1.560	0.211	1.687
NM_017801	chr3	32539344	32544394	-	250.0	1	CMTM6|CKLFSF6|PRO2219|-|3p22.3|protein-coding	8.669	3.057	4.533
NM_000593	chr6_dbb_hap3	4098126	4103176	-	250.0	8	TAP1|ABC17|ABCB2|APT1|D6S114E|PSF-1|PSF1|RING4|TAP1*0102N|TAP1N|-|6p21.32|protein-coding	1.000	0.000	0.000
NM_006409	chr7	98923471	98928521	+	250.0	1	ARPC1A|Arc40|HEL-68|HEL-S-307|SOP2Hs|SOP2L|-|7q22.1|protein-coding	5.357	1.898	4.744
NM_175619	chr4	48492219	48497269	+	250.0	1	ZAR1|Z3CXXC6|-|4p11|protein-coding	0.857	0.000	0.422
NR_039751	chr17	80621183	80626233	-	250.0	1	MIR4525|-|-|17q25.3|ncRNA	1.108	0.105	1.581
NM_207468	chr1	222910508	222915558	+	250.0	1	FAM177B|-|-|1q41|protein-coding	1.440	0.105	0.633
NM_145805	chr15	76629064	76634114	+	250.0	1	ISL2|-|-|15q24.3|protein-coding	3.051	2.214	12.229
NM_001202470	chr6	34388902	34393952	-	250.0	1	RPS10-NUDT3|-|-|6p21.31|protein-coding	10.932	17.394	28.253
NM_174954	chr17	3862731	3867781	-	250.0	1	ATP2A3|SERCA3|-|17p13.2|protein-coding	1.000	0.000	0.000
NM_001669	chrX	2842380	2847430	-	250.0	1	ARSD|ASD|-|Xp22.33|protein-coding	0.960	0.000	0.105
NR_120514	chr7	67485190	67490240	+	250.0	1	LOC102723427|-|-|7q11.22|ncRNA	1.000	0.000	0.000
NM_001199865	chr20	16549093	16554143	-	250.0	1	KIF16B|C20orf23|KISC20ORF|SNX23|-|20p12.1|protein-coding	4.278	0.949	2.319
NM_014597	chr1	94339762	94344812	-	250.0	1	DNTTIP2|ERBP|FCF2|HSU15552|LPTS-RP2|TdIF2|-|1p22.1|protein-coding	3.849	2.214	9.172
NR_038953	chr1	53704232	53709282	+	250.0	1	LOC100507564|-|-|1p32.3|ncRNA	5.916	1.265	2.003
NM_001142471	chr4	106624881	106629931	-	250.0	1	INTS12|INT12|PHF22|SBBI22|-|4q24|protein-coding	2.500	0.527	2.530
NM_000416	chr6	137535567	137540617	-	250.0	1	IFNGR1|CD119|IFNGR|IMD27A|IMD27B|-|6q23.3|protein-coding	5.952	2.319	5.376
NM_033504	chr1	33361990	33367040	-	250.0	1	TMEM54|BCLP|CAC-1|CAC1|-|1p35.1|protein-coding	2.449	0.527	2.636
NR_111911	chr10	68766911	68771961	-	250.0	1	LOC101928961|-|-|10q21.3|ncRNA	1.000	0.000	0.000
NM_001171653	chr2	145272686	145277736	-	250.0	1	ZEB2|HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B|-|2q22.3|protein-coding	4.343	1.370	4.111
NM_006194	chr14	37126723	37131773	+	250.0	1	PAX9|STHAG3|-|14q13.3|protein-coding	0.649	0.000	1.370
NM_182563	chr16	2256069	2261119	-	250.0	1	BRICD5|C16orf79|-|16p13.3|protein-coding	1.043	1.265	23.193
NR_039775	chr1	12251720	12256770	+	250.0	1	MIR4632|-|-|1p36.22|ncRNA	1.000	0.000	0.000
NM_001253764	chr5	139932041	139937091	-	250.0	1	SRA1|SRA|SRAP|STRAA1|pp7684|-|5q31.3|protein-coding	7.688	4.849	9.910
NR_030598	chr11	79108153	79113203	-	250.0	1	MIR708|MIRN708|hsa-mir-708|-|11q14.1|ncRNA	0.649	0.000	1.370
NR_105059	chr5	148786358	148791408	+	250.0	1	CARMN|CARMEN|MIR143HG|-|5q32|ncRNA	1.000	0.000	0.000
NR_134467	chr9	95858449	95863499	+	250.0	1	CARD19|BinCARD|C9orf89|-|9q22.31|protein-coding	5.684	1.054	1.476
NM_001323409	chr20	1099195	1104245	+	250.0	1	PSMF1|PI31|-|20p13|protein-coding	5.291	2.425	6.747
NM_031885	chr16	56548936	56553986	-	250.0	1	BBS2|BBS|RP74|-|16q13|protein-coding	7.336	2.003	3.057
NM_001004705	chr11	59244853	59249903	+	250.0	1	OR4D10|OR11-251|OR4D10P|OST711|-|11q12.1|protein-coding	1.000	0.000	0.000
